# 30/12/2022 11:36:54 AM: Prices - EPEX Spot Market Auction - netherlands - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak
31/12/2022,5.00,0.85,0.37,,0.17,0.09,0.00,0.00,-0.03,0.66,2.07,1.04,6.79,10.07,10.59,16.99,67.11,49.94,95.00,82.35,67.01,40.50,14.89,9.94,1.61,-0.03,95.00,1.60,0.02,2.64,26.19,73.58,16.74,20.13,34.14,1.08,0.81,14.42,6.12,0.68,7.12,57.26,36.05,18.77
30/12/2022,13.02,5.09,3.09,,0.65,0.57,4.88,10.89,23.91,27.90,29.22,26.20,24.86,17.95,20.03,25.74,28.29,21.37,31.05,25.00,24.14,27.93,0.69,0.40,0.17,0.17,31.05,5.46,10.06,27.05,23.00,25.39,7.30,16.38,25.15,4.55,7.76,25.02,7.61,22.98,22.26,26.61,13.06,23.85
29/12/2022,-0.81,-0.85,-1.50,,-2.54,-1.96,-0.89,-0.59,0.09,39.97,96.00,109.23,109.03,101.30,96.00,99.90,110.00,109.90,120.10,122.43,120.07,120.00,104.68,84.34,36.64,-2.54,122.43,-1.43,-0.84,88.56,101.80,118.13,86.42,65.44,102.83,-1.43,-1.13,95.18,28.05,33.87,103.89,109.98,98.03,104.24
28/12/2022,40.28,33.13,9.83,,-1.35,-0.65,0.78,17.29,69.85,110.00,120.00,118.00,120.00,120.00,100.00,74.90,100.00,114.26,121.26,119.90,95.14,91.35,68.18,42.54,21.48,-1.35,121.26,20.47,21.82,117.00,98.73,112.64,55.89,71.09,109.46,13.67,21.15,107.86,32.73,79.29,114.50,102.61,73.10,105.48
27/12/2022,42.00,13.86,9.51,,7.93,33.00,50.00,120.00,211.00,198.00,247.80,235.63,179.20,170.55,130.10,139.08,143.32,147.57,158.69,164.69,157.04,147.56,128.80,107.84,86.94,7.93,247.80,18.33,103.50,215.16,145.76,157.00,117.79,126.25,172.64,26.05,60.91,180.46,79.87,194.20,178.87,147.17,132.15,166.31
26/12/2022,50.30,36.98,37.86,,21.30,17.90,16.33,18.11,23.29,38.68,53.57,59.30,59.00,54.90,100.00,110.09,129.90,132.00,176.82,171.20,124.00,120.00,126.54,115.19,74.90,16.33,176.82,36.61,18.91,52.64,98.72,151.01,109.16,77.84,100.79,30.11,27.76,75.68,54.89,33.41,68.30,137.20,121.97,85.53
25/12/2022,120.28,112.11,106.65,,90.84,85.70,85.65,85.64,92.70,110.10,113.28,130.61,150.00,172.30,95.60,169.20,110.08,120.00,149.92,162.59,176.20,140.00,130.00,109.20,100.00,85.64,176.20,107.47,87.42,126.00,136.80,152.18,119.80,121.61,138.32,100.21,97.45,131.40,104.90,100.43,137.13,137.30,136.33,137.97
24/12/2022,81.20,50.40,50.00,,32.52,36.00,48.48,57.53,98.20,122.20,145.87,153.00,145.02,138.60,148.27,151.10,160.33,163.05,176.27,175.09,158.38,129.67,120.00,116.70,110.78,32.52,176.27,53.53,60.05,141.52,149.58,168.20,119.29,115.36,153.10,49.77,56.79,145.55,77.62,105.95,146.22,162.69,135.10,149.39
23/12/2022,148.72,148.72,146.39,,137.87,141.00,148.55,169.45,189.19,217.00,222.20,225.09,226.46,219.38,219.96,217.79,210.46,213.30,212.29,209.93,198.44,181.34,152.08,148.74,119.90,119.90,226.46,145.43,162.05,222.69,216.90,208.49,150.52,184.34,216.03,145.21,153.74,219.79,152.66,199.46,222.72,213.46,168.41,219.86
22/12/2022,158.90,146.12,140.19,,143.67,128.22,155.92,188.05,224.87,224.60,228.17,227.90,224.53,224.29,216.99,215.20,217.35,220.24,300.30,249.90,222.05,242.97,204.40,200.10,210.00,128.22,300.30,147.22,174.27,226.30,218.46,248.12,214.37,204.79,230.96,145.50,160.74,222.38,178.62,216.42,223.43,238.27,221.57,221.04
21/12/2022,203.95,191.77,179.00,,167.93,168.96,180.00,218.62,253.16,273.00,269.84,251.71,247.87,238.45,232.86,241.02,228.96,225.49,246.19,235.20,225.96,225.48,209.90,221.57,208.60,167.93,273.00,185.66,205.19,260.61,235.32,233.21,216.39,222.73,243.05,181.94,195.42,247.96,202.41,253.66,242.72,235.42,221.12,240.15
20/12/2022,108.19,92.41,92.45,,76.35,81.94,99.67,149.99,200.00,223.90,246.41,234.45,237.90,224.71,217.14,233.48,239.39,233.00,327.00,295.30,259.90,258.65,229.49,229.44,199.90,76.35,327.00,92.35,132.90,235.67,228.68,278.80,229.37,199.63,247.72,91.84,112.63,232.17,151.54,205.08,228.55,258.22,245.45,231.18
19/12/2022,120.50,106.17,92.62,,76.19,77.66,109.11,175.36,240.03,249.98,253.20,248.85,247.05,248.70,245.80,249.43,248.81,249.04,257.07,256.14,234.62,206.33,174.65,166.33,137.37,76.19,257.07,98.87,150.54,249.77,248.19,249.22,171.17,194.63,249.06,97.04,124.71,248.98,140.19,229.64,247.60,251.09,195.91,248.11
