occup,T_amb,T_tank,T_space,Ir_gain,Cond_losses,Vent_losses,heat_hp,heat_rate_sp,Tret_sp,heat_rate_wat,Tret_wat,water_forheat,COP_water,COP_space,hp_oper,space_ON,water_ON,P_con,time
1.0,20.457142857142856,0.0,21.978048419389427,0.0,0.13772560318923815,0.10654502681501143,0.0,-0.2442706300042496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:00:00.0
1.0,20.457142857142856,0.0,21.977226814714676,0.0,0.13765120277791618,0.10648747038660748,0.0,-0.24413867316452365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:01:00.0
1.0,20.442857142857143,0.0,21.976405653876977,0.0,0.13887048541540126,0.10743071186312096,0.0,-0.24630119727852223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:02:00.0
1.0,20.428571428571427,0.0,21.975577219385787,0.0,0.14008910938719416,0.10837344379346282,0.0,-0.248462553180657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:03:00.0
1.0,20.414285714285715,0.0,21.974741515170383,0.0,0.14130707504911116,0.1093156664528939,0.0,-0.25062274150200503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:04:00.0
1.0,20.414285714285715,0.0,21.97389854515793,0.0,0.1412307398996334,0.10925661330402613,0.0,-0.2504873532036595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:05:00.0
1.0,20.414285714285715,0.0,21.973056030524248,0.0,0.14115444598697996,0.10919759205611543,0.0,-0.25035203804309536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:06:00.0
1.0,20.414285714285715,0.0,21.97221397102333,0.0,0.14107819328887455,0.10913860269192878,0.0,-0.2502167959808034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:07:00.0
1.0,20.400000000000002,0.0,21.971372366409316,0.0,0.14229562464019566,0.11008041200674236,0.0,-0.25237603664693803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:08:00.0
1.0,20.400000000000002,0.0,21.9705234991857,0.0,0.14221875546876064,0.11002094573654901,0.0,-0.25223970120530964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-01-23T00:09:00.0
